WORD_ID,Vocab_word
0,http
1,use
2,list
3,one
4,get
5,mail
6,would
7,like
8,messag
9,work
10,time
11,wrote
12,file
13,new
14,peopl
15,user
16,make
17,linux
18,group
19,email
20,chang
21,think
22,system
23,also
24,inform
25,way
26,could
27,said
28,go
29,say
30,need
31,look
32,know
33,run
34,spam
35,date
36,want
37,tri
38,see
39,even
40,problem
41,https
42,thing
43,world
44,year
45,first
46,set
47,url
48,server
49,line
50,instal
51,well
52,good
53,may
54,right
55,version
56,take
57,much
58,maintain
59,still
60,irish
61,mani
62,seem
63,find
64,ilug
65,network
66,subscript
67,someth
68,compani
69,sinc
70,code
71,state
72,un
73,call
74,check
75,sponsor
76,realli
77,includ
78,differ
79,listmast
80,packag
81,us
82,free
83,window
84,day
85,give
86,develop
87,back
88,subject
89,point
90,help
91,report
92,two
93,softwar
94,case
95,come
96,support
97,actual
98,write
99,last
100,link
101,sure
102,start
103,aug
104,found
105,might
106,ca
107,number
108,got
109,better
110,anoth
111,old
112,secur
113,mean
114,read
115,send
116,comput
117,web
118,provid
119,build
120,lot
121,receiv
122,address
123,part
124,perl
125,anyon
126,data
127,prefer
128,without
129,releas
130,technolog
131,end
132,sourc
133,interest
134,ad
135,program
136,post
137,open
138,thank
139,probabl
140,test
141,idea
142,sep
143,current
144,public
145,name
146,though
147,site
148,everi
149,issu
150,phone
151,person
152,put
153,servic
154,internet
155,rpm
156,signatur
157,folder
158,fix
159,around
160,place
161,manag
162,reason
163,exmh
164,bit
165,someon
166,sent
167,error
168,possibl
169,made
170,howev
171,requir
172,keep
173,nation
174,govern
175,result
176,pgp
177,never
178,long
179,ask
180,creat
181,best
182,process
183,great
184,question
185,page
186,show
187,live
188,must
189,updat
190,follow
191,exampl
192,stuff
193,design
194,base
195,word
196,kernel
197,allow
198,product
199,els
200,next
201,busi
202,today
203,matthia
204,licens
205,tell
206,yet
207,razor
208,avail
209,key
210,engin
211,directori
212,unit
213,news
214,home
215,discuss
216,let
217,yahoo
218,yes
219,anyth
220,communic
221,log
222,market
223,access
224,pleas
225,univers
226,origin
227,add
228,american
229,bug
230,happen
231,general
232,enough
233,rule
234,done
235,power
236,mayb
237,jul
238,box
239,job
240,week
241,exist
242,welcom
243,geek
244,instead
245,law
246,least
247,countri
248,cours
249,hard
250,thought
251,caus
252,rather
253,real
254,august
255,root
256,believ
257,less
258,within
259,alreadi
260,littl
261,friend
262,stop
263,connect
264,remov
265,wed
266,forc
267,septemb
268,big
269,fact
270,talk
271,global
272,effect
273,alway
274,fork
275,play
276,move
277,pm
278,machin
279,heaven
280,applic
281,drive
282,month
283,quit
284,hope
285,second
286,understand
287,comment
288,polit
289,c
290,war
291,abl
292,type
293,option
294,featur
